customer_id,first_name,last_name,curent_credit_card,email,address_street_number,address_city,address_state,address_zip,region,phone_number,start_date,end_date
11df1f41946907e669537a91abbc00a8,ERINN,DZVONIK,4189090828557714,dzvonik30@att.net,9195 George Street,Cleveland,OH,44121,midwest,(216)926-9604,2015/07/06,
4492253f59a6196ade3830684ad6c2a6,CHUAN,VOROBYEV,,,,,,,,,,
0f43c1e3277a0eec815e553f19e533de,JACE,BURUATO,,jburuato62@gmail.com,,,,,,,,
d3c7e417f776b451b5c50d02e23de767,LAUREY,BIFFAR,5381347434612654,laurey.biffar@mac.com,444 Bank Street,Elk Grove,CA,95757,west,(916)519-4122,2013/12/09,
c3464287df184acc61ac1ed3aa3b1946,GARRIE,MULANAX,4710842642793860,mulanax60@yahoo.com,882 Park Place,Santa Ana,CA,92703,west,(714)633-4198,2012/09/03,
660c3305600895f32784a8922e4d6dab,DEVINDER,HERDING,4673306709812570,herding27@hotmail.com,3278 7th AVE,Howell,NJ,07731,midatlantic,(732)353-4861,2010/01/02,2013/09/08
4d992d4a54fc5a908b98ec3c43281364,NAEEM,KWOK,4521677200949621,nkwok79@gmail.com,6678 Church Street,Redmond,OR,97756,northwest,(541)727-8215,2014/12/26,
d180986a9c1f4b69a6cc5929da0a3aeb,JERMEY,GRABEL,4419255604289896,jgrabel@aol.com,9213 Main ST W,Burns,OR,97720,northwest,(541)399-4842,2016/10/01,
e0d47be875d399ccb10040fa8bfe18ca,RIMA,MABUTAS,346019866185855,rmabutas@hotmail.com,1722 Windsor Court,Stockton,CA,95219,west,(209)488-5308,Aug 13 2013,
3d4d6663e7641969288dc6d00d71a4cb,CRAIG,COUSINS,5269189806822956,craig.cousins@gmail.com,536 11th Street,Walla Walla,WA,99362,northwest,(509)900-5176,2011/01/03,
0f4e1d49e68e382f0fae735241d3461f,DENISHA,SOLESBEE,5362778434371268,denisha.solesbee@gmail.com,61249 4th Avenue,Half Moon Bay,CA,94019,west,(650)258-9728,2010/08/19,
6d93524476dc8ab5fb3107eb89c3edc2,COZETTE,MENOUSEK,5285017568084866,cmenousek91@gmail.com,157 Park Avenue,Troy,NY,12182,midatlantic,(518)490-2717,Dec 22 2015,
2185d22f2cba51e9e2b6f4d535addc16,MOHAMMAD,HALEN,,,,,,,,,,
fe07e8cec3490e1420e38af160a3e43b,ARACELIA,VANDERMOERE,,,,,,,,,,
34e0df08d5d321bb2f31946b3b6c8c23,SANDRA,GROSBOLL,,,,,,,,,,
c18a292c4f83553814ebc5e43e775509,YURIY,ALSWORTH,4803139323838751,yuriy44@gmail.com,442 Park Avenue,Whitesburg,TN,37891,south,(423)556-4809,2012/10/17,
1a14fb44fc4bddafc788bc0fe10cd989,YUE,SCHLENTZ,5110870755718436,yue66@gmail.com,9491 Vine ST APT C,Spring Hill,FL,34608,south,(352)918-4506,2013/10/14,
5e5cb6fd29a5e02cea5f335db5c04dff,ARPAD,TERNDRUP,4044206650098264,arpad.terndrup@att.net,733 3rd Street,Tewksbury,MA,01876,northest,(978)770-2626,Dec 10 2013,
300a5baa5df8df9bb24d4676c35113a0,ZOFIA,BAREKET,340581735089606,zofia.bareket@hotmail.com,2667 River Road,Houston,TX,77055,southwest,(281)853-4137,2015/09/14,
0dee747eb4fa100fce03d9fee7ad181b,BARBI,FAUCHEUX,5257337541431339,faucheux96@gmail.com,3907 Woodland Drive,Orlando,FL,32839,south,(407)560-9042,2015/07/20,
790a00e523a1819ceffa3e591112676e,LIGE,CARACOZA,,lige.caracoza@yahoo.com,,,,,,,,
cb5fa3e2f7f163336cde39631bdc99f7,LAUREE,GARESCHE,5536906188963381,lauree.garesche@yahoo.com,651 Main Street North,Revere,MA,02151,northest,(339)529-8838,2016/11/10,
36bbe9e8e30f47231d5b462741b8360d,GAMALIEL,MEIN,5425411936768013,gamaliel.mein@comcast.net,683 3rd ST,Atascadero,,93422,west,(805)795-9951,Dec 20 2015,
0e0cb9416c44433b4919178c2124d286,FANNY,BANNISH,5107617055202560,bannish52@yahoo.com,3068 Canterbury Court,Delmar,DE,19940,midatlantic,(302)336-3587,Mar 04 2014,
1cc60af0090ea838a9ef8828aa544cbd,CHARLEAN,BOEHM,4284752865314822,charlean.boehm@att.net,3542 5th Street West,Easley,SC,29640,south,(864)490-1683,2012/10/08,
30d7cd6ebf87e45f81221e153a516a5f,LORETTE,SIEGLE,5462369948835571,siegle29@gmail.com,8229 College ST,Kissimmee,FL,34758,south,(407)446-3631,2013/07/18,
37ef015d27423cb7a543047ff8a9eb41,GUS,MARCELIS,5235962913384470,gus91@att.net,5337 Broad Street,Sparta,TN,38583,south,(931)508-3588,2016/10/24,
53ebe75102949ae96ff65814361af011,RENATO,MAYHOOD,5149335763918272,rmayhood@mac.com,196 Laurel Lane,Brooklyn,NY,11235,midatlantic,(718)514-4705,Jan 25 2016,
1a2adc0beb778d2451d0c385c48b7149,ILIAS,MOHNEY,,,,,,,,,,
